date,open,high,low,close,volume,Name,Return,Price_Range,Daily_Change,Relative_Change
2014-04-14,53.19,53.249,52.3075,52.65,2840577,A,-0.2274019329164384,0.9415000000000049,-0.5399999999999991,-1.0152284263959375
2015-08-26,25.35,25.82,25.18,25.76,7672006,GGP,3.370786516853932,0.6400000000000006,0.41000000000000014,1.617357001972387
2014-10-20,58.76,58.91,58.13,58.7,1275715,DISH,0.29044934221766905,0.779999999999994,-0.05999999999999517,-0.10211027910142131
2016-06-08,189.05,190.29,186.25,189.8,804840,MLM,1.4647706618197418,4.039999999999992,0.75,0.3967204443268976
2016-07-12,39.05,39.46,39.03,39.37,5769157,BK,2.021249028245644,0.4299999999999997,0.3200000000000003,0.8194622279129329
2017-05-31,145.05,147.12,144.04,146.63,1238303,WLTW,1.0962493105350273,3.0800000000000125,1.579999999999984,1.089279558772826
2017-10-24,15.43,15.53,15.17,15.4,11239457,MAT,-0.38809831824062413,0.35999999999999943,-0.02999999999999936,-0.19442644199610734
2016-09-28,89.61,89.615,88.45,89.44,472512,IT,0.10072747621712749,1.164999999999992,-0.1700000000000017,-0.1897109697578414
2017-11-16,34.76,34.8649,34.58,34.64,1862151,FE,-0.40253018976423394,0.2849000000000004,-0.11999999999999744,-0.3452243958572999
2013-07-05,23.19,23.35,23.02,23.26,5363363,CSX,0.9986973512809397,0.33000000000000185,0.07000000000000028,0.3018542475204842
2013-05-16,114.16,116.16,113.9,114.33,1318345,CMI,-0.3051970701081344,2.259999999999991,0.1700000000000017,0.1489138051857058
2017-11-16,285.89,289.2499,283.159,283.7,796705,CMG,-0.6130670870555264,6.090900000000033,-2.1899999999999977,-0.766028892231277
